Dose,qt,R,final pH,Leaching Mg
0.1,64.73701,60.867615,10.4215765,2.7394028
0.2,41.44269,57.732758,10.519923,2.8148997
0.3,43.313522,67.720894,10.55746,2.8319163
0.4,40.890205,71.33844,10.551553,2.8815234
0.5,37.600838,73.28051,10.514802,2.9070494
1.0,25.644016,79.6932,10.200735,2.9013715
2.0,13.79883,63.113373,9.751938,3.1457348
6.200000000000001,2.5124,-22.590023,10.460596,16.882048
8.0,1.2893656,-58.15221,10.841085,39.424904
16.0,0.04375408,-231.9752,12.3711,2244.1335
20.0,0.007084867,-327.49133,13.260006,18574.627
