Ini conc,qt,R,final pH,Leaching Mg
10.0,23.381186,65.19316,10.69286,2.8128612
20.0,30.724604,60.549877,10.775472,2.5083172
30.000000000000004,43.7777,57.822678,10.832948,2.144509
50.0,60.467304,51.740845,10.942449,1.6387875
100.0,90.0025,39.96406,11.307821,1.1218863
250.0,169.63493,27.42684,11.049622,3.8704119
310.0,190.65884,25.312525,10.523331,4.9486403
400.0,219.91727,20.882215,9.677903,6.8576384
500.0,248.81956,15.066899,8.730511,9.524735
800.0,265.37094,7.6107435,7.655827,11.336471
1000.0,293.94818,2.9701455,7.054513,13.661729
