pH,qt,R,final pH,Leaching Mg
2.0,27.591036,42.41579,8.404018,16.767368
3.0,38.03448,56.2917,9.53848,9.340346
4.0,47.830124,68.243286,10.643286,3.4784508
5.0,34.714066,55.112602,10.587915,2.6515887
6.0,46.173046,68.07266,10.715069,2.3701284
7.0,43.227753,66.67228,10.742564,2.0778115
8.0,41.67451,65.64114,10.791587,1.8099282
9.0,39.878178,66.0338,10.7953205,1.6748767
10.0,37.97419,64.57251,10.820836,1.5379503
11.0,28.121164,47.085686,11.284742,0.87887645
12.0,16.595781,27.672556,11.85887,0.18169272
